dati_definitivi_id	Sesso	Voto_LT	Voto_LM	Durata	Ricerca_PI	Tempo_PI	Fine_Studi	Major	Settore_PI	Phd	Luogo_PI	Retribuzione_PI	Cambio_Lavoro	Luogo_Phd	Retribuzione_Phd	PostDoc	Utilita_Phd	Settore_IA	Luogo_IA	Retribuzione_IA	Soddisfazione_Lavorativa	Soddisfazione_Laurea	Soddisfazione_Preparazione	Stage	Erasmus	Corsi_Extra	Comunicazione	Python
60	M	96	110	6	Contattato	Prelaurea	2019	1	Finanza	No	UK	2200	No	NA	NA	NA	NA	NA	NA	NA	3	5	5	0	0	0	No	No
61	M	103	111	5	Contattato	Prelaurea	2019	2	Consulenza	No	Italia	1380	No	NA	NA	NA	NA	NA	NA	NA	4	5	5	0	0	0	No	Si
62	M	100	111	5	Autonomo	Prelaurea	2014	NA	RD	No	UK	4000	No	NA	NA	NA	NA	NA	NA	NA	5	5	5	0	0	0	No	No
63	M	106	110	6	Phd_Tesi	Prelaurea	2017	3	Accademico	Si	NA	NA	NA	Polimi	1100	Boh	3	NA	NA	NA	4	5	4	0	0	0	No	No
64	M	100	104	5	Autonomo	Prelaurea	2009	3	Accademico	Si	NA	NA	NA	Polimi	1100	Si	4	Accademico	EU2	4600	3	4	3	0	0	0	Si	No
65	M	105	110	5	Autonomo	Prelaurea	2017	3	Accademico	Si	NA	NA	NA	Europa	1650	Si	5	NA	NA	NA	4	4	4	0	0	0	Si	No
66	M	111	111	5	Contattato	Prelaurea	2017	3	RD	Si	NA	NA	NA	Polimi	1300	Si	5	Accademico	Italia	1800	4	5	5	0	0	0	No	Si
67	M	81	101	7	Contattato	Prelaurea	2015	2	Data_Science	No	Italia	1300	Si	NA	NA	NA	NA	Data_Science	Italia	1950	5	5	3	1	0	0	Si	No
68	M	110	110	7	CS	Prelaurea	2013	3	ICT	No	EU1	2000	Si	NA	NA	NA	NA	Finanza	Mondo	25000	3	4	3	1	0	0	Si	No
69	M	89	97	6	Contattato	Prelaurea	2018	1	Consulenza	No	Italia	1370	Si	NA	NA	NA	NA	Finanza	EU2	3000	4	3	4	1	0	0	No	Si
70	M	110	111	5	MateDay	Prelaurea	2014	3	Consulenza	No	Italia	2000	Si	NA	NA	NA	NA	RD	EU1	3500	5	5	5	1	0	0	Si	No
71	M	111	111	5	CS	Prelaurea	2014	NA	Data_Science	No	EU2	2800	Si	NA	NA	NA	NA	Data_Science	EU1	3300	4	4	3	1	0	0	No	Si
72	M	103	102	6	BarucciGang	Prelaurea	2014	1	Finanza	No	Italia	1500	Si	NA	NA	NA	NA	Finanza	Italia	2300	4	4	4	1	0	0	Si	No
73	M	80	NA	4	CS	Prelaurea	2015	NA	Finanza	No	Italia	1650	Si	NA	NA	NA	NA	Finanza	EU2	6100	5	5	4	1	0	0	No	No
74	M	99	111	6	Contattato	Prelaurea	2017	2	Data_Science	No	Italia	1400	No	NA	NA	NA	NA	NA	NA	NA	4	3	3	1	0	0	No	Si
75	M	95	107	5	Autonomo	Prelaurea	2017	2	Data_Science	No	Italia	1400	No	NA	NA	NA	NA	NA	NA	NA	4	4	4	1	0	0	Si	Si
76	M	111	111	5	Autonomo	Prelaurea	2006	1	Finanza	Si	NA	NA	NA	Mondo	1250	No	3	Finanza	Mondo	4250	5	4	3	1	0	0	No	No
